date,OBV
2018-04-13 09:30,265787.0
2018-04-13 09:31,463147.0
2018-04-13 09:32,317868.0
2018-04-13 09:33,179854.0
2018-04-13 09:34,300001.0
2018-04-13 09:35,459317.0
2018-04-13 09:36,346922.0
2018-04-13 09:37,453058.0
2018-04-13 09:38,376026.0
2018-04-13 09:39,518493.0
2018-04-13 09:40,620873.0
2018-04-13 09:41,789509.0
2018-04-13 09:42,607497.0
2018-04-13 09:43,742938.0
2018-04-13 09:44,891670.0
2018-04-13 09:45,767887.0
2018-04-13 09:46,933284.0
2018-04-13 09:47,1014373.0
2018-04-13 09:48,930924.0
2018-04-13 09:49,741858.0
2018-04-13 09:50,820781.0
2018-04-13 09:51,917182.0
2018-04-13 09:52,850719.0
2018-04-13 09:53,771665.0
2018-04-13 09:54,800452.0
2018-04-13 09:55,737830.0
2018-04-13 09:56,621829.0
2018-04-13 09:57,587766.0
2018-04-13 09:58,515201.0
2018-04-13 09:59,574340.0
2018-04-13 10:00,530480.0
2018-04-13 10:01,597620.0
2018-04-13 10:02,499053.0
2018-04-13 10:03,435912.0
2018-04-13 10:04,491630.0
2018-04-13 10:05,419662.0
2018-04-13 10:06,461262.0
2018-04-13 10:07,554093.0
2018-04-13 10:08,507308.0
2018-04-13 10:09,448290.0
2018-04-13 10:10,360571.0
2018-04-13 10:11,277342.0
2018-04-13 10:12,228946.0
2018-04-13 10:13,297717.0
2018-04-13 10:14,361102.0
2018-04-13 10:15,322034.0
2018-04-13 10:16,381027.0
2018-04-13 10:17,338891.0
2018-04-13 10:18,315389.0
2018-04-13 10:19,353788.0
2018-04-13 10:20,332558.0
2018-04-13 10:21,308397.0
2018-04-13 10:22,397451.0
2018-04-13 10:23,362219.0
2018-04-13 10:24,321363.0
2018-04-13 10:25,240879.0
2018-04-13 10:26,188759.0
2018-04-13 10:27,119797.0
2018-04-13 10:28,31773.0
2018-04-13 10:29,-80807.0
2018-04-13 10:30,-36514.0
2018-04-13 10:31,4713.0
2018-04-13 10:32,-60666.0
2018-04-13 10:33,-30492.0
2018-04-13 10:34,37390.0
2018-04-13 10:35,37390.0
2018-04-13 10:36,-13880.0
2018-04-13 10:37,12977.0
2018-04-13 10:38,-25062.0
2018-04-13 10:39,2594.0
2018-04-13 10:40,-48456.0
2018-04-13 10:41,-105.0
2018-04-13 10:42,-33178.0
2018-04-13 10:43,-4912.0
2018-04-13 10:44,36605.0
2018-04-13 10:45,15889.0
2018-04-13 10:46,-11034.0
2018-04-13 10:47,27787.0
2018-04-13 10:48,-827.0
2018-04-13 10:49,71495.0
2018-04-13 10:50,133008.0
2018-04-13 10:51,82522.0
2018-04-13 10:52,131220.0
2018-04-13 10:53,103316.0
2018-04-13 10:54,73871.0
2018-04-13 10:55,105681.0
2018-04-13 10:56,59595.0
2018-04-13 10:57,104460.0
2018-04-13 10:58,73582.0
2018-04-13 10:59,114745.0
2018-04-13 11:00,70451.0
2018-04-13 11:01,19286.0
2018-04-13 11:02,-32998.0
2018-04-13 11:03,27111.0
2018-04-13 11:04,51133.0
2018-04-13 11:05,109829.0
