date,OBV
2018-04-13 12:14,-123001.0
2018-04-13 12:15,-120401.0
2018-04-13 12:16,-111442.0
2018-04-13 12:17,-108992.0
2018-04-13 12:18,-121742.0
2018-04-13 12:19,-118957.0
2018-04-13 12:20,-121452.0
2018-04-13 12:21,-117576.0
2018-04-13 12:22,-114926.0
2018-04-13 12:23,-98854.0
2018-04-13 12:24,-103924.0
2018-04-13 12:25,-89105.0
2018-04-13 12:26,-96399.0
2018-04-13 12:27,-103417.0
2018-04-13 12:28,-90317.0
2018-04-13 12:29,-81167.0
2018-04-13 12:30,-71986.0
2018-04-13 12:31,-81861.0
2018-04-13 12:32,-93218.0
2018-04-13 12:33,-87088.0
2018-04-13 12:34,-98698.0
2018-04-13 12:35,-102385.0
2018-04-13 12:36,-97270.0
2018-04-13 12:37,-105295.0
2018-04-13 12:38,-115623.0
2018-04-13 12:39,-111723.0
2018-04-13 12:40,-117973.0
2018-04-13 12:41,-114989.0
2018-04-13 12:42,-109296.0
2018-04-13 12:43,-106396.0
2018-04-13 12:44,-101513.0
2018-04-13 12:45,-105933.0
2018-04-13 12:46,-104183.0
2018-04-13 12:47,-101714.0
2018-04-13 12:48,-104176.0
2018-04-13 12:49,-117587.0
2018-04-13 12:50,-115987.0
2018-04-13 12:51,-108654.0
2018-04-13 12:52,-102212.0
2018-04-13 12:53,-105596.0
2018-04-13 12:54,-107414.0
2018-04-13 12:55,-110509.0
2018-04-13 12:56,-97213.0
2018-04-13 12:57,-97213.0
2018-04-13 12:58,-92235.0
2018-04-13 12:59,-96498.0
2018-04-13 13:00,-77629.0
2018-04-13 13:01,-93000.0
2018-04-13 13:02,-59044.0
2018-04-13 13:03,-65300.0
2018-04-13 13:04,-57309.0
2018-04-13 13:05,-70916.0
2018-04-13 13:06,-72916.0
2018-04-13 13:07,-68287.0
2018-04-13 13:08,-79611.0
2018-04-13 13:09,-74944.0
2018-04-13 13:10,-81886.0
2018-04-13 13:11,-79441.0
2018-04-13 13:12,-75091.0
2018-04-13 13:13,-64821.0
2018-04-13 13:14,-76177.0
2018-04-13 13:15,-67627.0
2018-04-13 13:16,-64172.0
2018-04-13 13:17,-69810.0
2018-04-13 13:18,-74885.0
2018-04-13 13:19,-85008.0
2018-04-13 13:20,-94332.0
2018-04-13 13:21,-90837.0
2018-04-13 13:22,-86162.0
2018-04-13 13:23,-92377.0
2018-04-13 13:24,-82021.0
2018-04-13 13:25,-77540.0
2018-04-13 13:26,-82767.0
2018-04-13 13:27,-80117.0
2018-04-13 13:28,-81760.0
2018-04-13 13:29,-83611.0
2018-04-13 13:30,-86234.0
2018-04-13 13:31,-87471.0
2018-04-13 13:32,-91941.0
2018-04-13 13:33,-90191.0
2018-04-13 13:34,-88191.0
2018-04-13 13:35,-92491.0
2018-04-13 13:36,-98323.0
2018-04-13 13:37,-95465.0
2018-04-13 13:38,-89254.0
2018-04-13 13:39,-80297.0
2018-04-13 13:40,-81897.0
2018-04-13 13:41,-73915.0
2018-04-13 13:42,-77449.0
2018-04-13 13:43,-76349.0
2018-04-13 13:44,-74277.0
2018-04-13 13:45,-80259.0
2018-04-13 13:46,-72904.0
2018-04-13 13:47,-54366.0
2018-04-13 13:48,-46172.0
2018-04-13 13:49,-52026.0
2018-04-13 13:50,-46086.0
2018-04-13 13:51,-39206.0
2018-04-13 13:52,-27340.0
2018-04-13 13:53,-38128.0
2018-04-13 13:54,-32518.0
2018-04-13 13:55,-40756.0
2018-04-13 13:56,-31159.0
2018-04-13 13:57,-22355.0
2018-04-13 13:58,-33183.0
2018-04-13 13:59,-23028.0
2018-04-13 14:00,-10416.0
2018-04-13 14:01,11759.0
2018-04-13 14:02,21099.0
2018-04-13 14:03,36170.0
2018-04-13 14:04,74375.0
2018-04-13 14:05,55057.0
2018-04-13 14:06,66962.0
2018-04-13 14:07,53300.0
2018-04-13 14:08,40046.0
2018-04-13 14:09,50892.0
2018-04-13 14:10,63261.0
2018-04-13 14:11,74273.0
2018-04-13 14:12,61334.0
2018-04-13 14:13,67034.0
2018-04-13 14:14,63874.0
2018-04-13 14:15,38876.0
2018-04-13 14:16,29930.0
2018-04-13 14:17,38340.0
2018-04-13 14:18,30861.0
2018-04-13 14:19,19461.0
2018-04-13 14:20,13721.0
2018-04-13 14:21,22901.0
2018-04-13 14:22,35310.0
2018-04-13 14:23,24306.0
2018-04-13 14:24,29417.0
2018-04-13 14:25,26826.0
2018-04-13 14:26,23481.0
2018-04-13 14:27,19646.0
2018-04-13 14:28,23696.0
2018-04-13 14:29,16596.0
2018-04-13 14:30,8526.0
2018-04-13 14:31,-7687.0
2018-04-13 14:32,-30173.0
2018-04-13 14:33,-21672.0
2018-04-13 14:34,-7314.0
2018-04-13 14:35,-13009.0
2018-04-13 14:36,-21058.0
2018-04-13 14:37,-34384.0
2018-04-13 14:38,-52842.0
2018-04-13 14:39,-62430.0
2018-04-13 14:40,-55405.0
2018-04-13 14:41,-86695.0
2018-04-13 14:42,-74884.0
2018-04-13 14:43,-69301.0
2018-04-13 14:44,-76186.0
2018-04-13 14:45,-82822.0
2018-04-13 14:46,-77272.0
2018-04-13 14:47,-84743.0
2018-04-13 14:48,-90290.0
