date,OBV
2018-04-13 12:15,-140922.0
2018-04-13 12:16,-131298.0
2018-04-13 12:17,-142250.0
2018-04-13 12:18,-151391.0
2018-04-13 12:19,-154252.0
2018-04-13 12:20,-161682.0
2018-04-13 12:21,-173585.0
2018-04-13 12:22,-160481.0
2018-04-13 12:23,-141236.0
2018-04-13 12:24,-151921.0
2018-04-13 12:25,-164706.0
2018-04-13 12:26,-154964.0
2018-04-13 12:27,-168112.0
2018-04-13 12:28,-184169.0
2018-04-13 12:29,-167637.0
2018-04-13 12:30,-150736.0
2018-04-13 12:31,-160061.0
2018-04-13 12:32,-164351.0
2018-04-13 12:33,-167999.0
2018-04-13 12:34,-161091.0
2018-04-13 12:35,-173508.0
2018-04-13 12:36,-164080.0
2018-04-13 12:37,-158163.0
2018-04-13 12:38,-172863.0
2018-04-13 12:39,-188910.0
2018-04-13 12:40,-205235.0
2018-04-13 12:41,-199671.0
2018-04-13 12:42,-208837.0
2018-04-13 12:43,-208837.0
2018-04-13 12:44,-196862.0
2018-04-13 12:45,-206599.0
2018-04-13 12:46,-218014.0
2018-04-13 12:47,-201261.0
2018-04-13 12:48,-213829.0
2018-04-13 12:49,-207195.0
2018-04-13 12:50,-200148.0
2018-04-13 12:51,-184579.0
2018-04-13 12:52,-167494.0
2018-04-13 12:53,-178981.0
2018-04-13 12:54,-187842.0
2018-04-13 12:55,-196200.0
2018-04-13 12:56,-189974.0
2018-04-13 12:57,-181960.0
2018-04-13 12:58,-175948.0
2018-04-13 12:59,-183990.0
2018-04-13 13:00,-190873.0
2018-04-13 13:01,-193784.0
2018-04-13 13:02,-171857.0
2018-04-13 13:03,-208267.0
2018-04-13 13:04,-195975.0
2018-04-13 13:05,-188462.0
2018-04-13 13:06,-178369.0
2018-04-13 13:07,-169635.0
2018-04-13 13:08,-158320.0
2018-04-13 13:09,-141955.0
2018-04-13 13:10,-151586.0
2018-04-13 13:11,-171030.0
2018-04-13 13:12,-152998.0
2018-04-13 13:13,-133831.0
2018-04-13 13:14,-155876.0
2018-04-13 13:15,-182228.0
2018-04-13 13:16,-173228.0
2018-04-13 13:17,-167513.0
2018-04-13 13:18,-157625.0
2018-04-13 13:19,-150359.0
2018-04-13 13:20,-159934.0
2018-04-13 13:21,-152454.0
2018-04-13 13:22,-143163.0
2018-04-13 13:23,-120327.0
2018-04-13 13:24,-134565.0
2018-04-13 13:25,-117684.0
2018-04-13 13:26,-74093.0
2018-04-13 13:27,-64896.0
2018-04-13 13:28,-93007.0
2018-04-13 13:29,-102738.0
2018-04-13 13:30,-108055.0
2018-04-13 13:31,-96986.0
2018-04-13 13:32,-105365.0
2018-04-13 13:33,-94829.0
2018-04-13 13:34,-112949.0
2018-04-13 13:35,-117989.0
2018-04-13 13:36,-126726.0
2018-04-13 13:37,-121467.0
2018-04-13 13:38,-110618.0
2018-04-13 13:39,-113937.0
2018-04-13 13:40,-107645.0
2018-04-13 13:41,-93599.0
2018-04-13 13:42,-98813.0
2018-04-13 13:43,-93462.0
2018-04-13 13:44,-98093.0
2018-04-13 13:45,-92475.0
2018-04-13 13:46,-99710.0
2018-04-13 13:47,-95220.0
2018-04-13 13:48,-99745.0
2018-04-13 13:49,-92949.0
2018-04-13 13:50,-84057.0
2018-04-13 13:51,-77044.0
2018-04-13 13:52,-68892.0
2018-04-13 13:53,-80020.0
2018-04-13 13:54,-73406.0
2018-04-13 13:55,-68102.0
2018-04-13 13:56,-73780.0
2018-04-13 13:57,-79481.0
2018-04-13 13:58,-91694.0
2018-04-13 13:59,-73394.0
2018-04-13 14:00,-71059.0
2018-04-13 14:01,-60481.0
2018-04-13 14:02,-71105.0
2018-04-13 14:03,-63877.0
2018-04-13 14:04,-58265.0
2018-04-13 14:05,-54722.0
2018-04-13 14:06,-64163.0
2018-04-13 14:07,-61929.0
2018-04-13 14:08,-51557.0
2018-04-13 14:09,-43329.0
2018-04-13 14:10,-32196.0
2018-04-13 14:11,-22613.0
2018-04-13 14:12,-29112.0
2018-04-13 14:13,-42994.0
2018-04-13 14:14,-50088.0
2018-04-13 14:15,-61445.0
2018-04-13 14:16,-91311.0
2018-04-13 14:17,-113475.0
2018-04-13 14:18,-121055.0
2018-04-13 14:19,-133836.0
2018-04-13 14:20,-113456.0
2018-04-13 14:21,-123433.0
2018-04-13 14:22,-135629.0
2018-04-13 14:23,-140309.0
2018-04-13 14:24,-151332.0
2018-04-13 14:25,-157051.0
2018-04-13 14:26,-204581.0
2018-04-13 14:27,-190585.0
2018-04-13 14:28,-180686.0
2018-04-13 14:29,-184717.0
2018-04-13 14:30,-193115.0
2018-04-13 14:31,-230926.0
2018-04-13 14:32,-212862.0
2018-04-13 14:33,-206758.0
2018-04-13 14:34,-174658.0
2018-04-13 14:35,-187980.0
2018-04-13 14:36,-192905.0
2018-04-13 14:37,-199533.0
2018-04-13 14:38,-204158.0
2018-04-13 14:39,-213475.0
2018-04-13 14:40,-202465.0
2018-04-13 14:41,-217934.0
2018-04-13 14:42,-191531.0
2018-04-13 14:43,-166508.0
2018-04-13 14:44,-166508.0
2018-04-13 14:45,-156291.0
2018-04-13 14:46,-142329.0
2018-04-13 14:47,-137367.0
2018-04-13 14:48,-148436.0
2018-04-13 14:49,-154151.0
2018-04-13 14:50,-161617.0
2018-04-13 14:51,-184562.0
2018-04-13 14:52,-174549.0
2018-04-13 14:53,-198993.0
2018-04-13 14:54,-215010.0
2018-04-13 14:55,-200149.0
2018-04-13 14:56,-218650.0
2018-04-13 14:57,-246787.0
2018-04-13 14:58,-265369.0
2018-04-13 14:59,-253991.0
2018-04-13 15:00,-242378.0
2018-04-13 15:01,-262108.0
2018-04-13 15:02,-279477.0
2018-04-13 15:03,-303513.0
2018-04-13 15:04,-270599.0
2018-04-13 15:05,-298295.0
2018-04-13 15:06,-358157.0
