date,1. open,2. high,3. low,4. close,5. volume
2018-04-26 11:42:00,1034.99,1035.2,1034.44,1034.44,1240.0
2018-04-26 11:43:00,1034.99,1035.08,1034.23,1034.42,3304.0
2018-04-26 11:44:00,1034.58,1034.7639,1034.17,1034.42,1250.0
2018-04-26 11:45:00,1034.31,1034.85,1034.31,1034.85,850.0
2018-04-26 11:46:00,1034.73,1035.627,1034.73,1035.627,2950.0
2018-04-26 11:47:00,1035.25,1035.25,1035.25,1035.25,100.0
2018-04-26 11:48:00,1034.94,1035.0,1033.9,1033.9519,2253.0
2018-04-26 11:49:00,1034.07,1034.61,1034.07,1034.18,2000.0
2018-04-26 11:50:00,1033.77,1033.77,1033.51,1033.51,200.0
2018-04-26 11:51:00,1033.63,1034.38,1033.63,1034.22,1056.0
2018-04-26 11:52:00,1034.67,1035.0,1034.4,1034.49,2400.0
2018-04-26 11:53:00,1034.0364,1035.06,1034.0364,1035.0,6110.0
2018-04-26 11:54:00,1035.0,1035.41,1034.7069,1034.7069,1217.0
2018-04-26 11:55:00,1034.9,1035.3,1034.66,1035.1,3600.0
2018-04-26 11:56:00,1035.7,1036.0,1034.9,1034.9,1133.0
2018-04-26 11:57:00,1035.09,1035.8,1035.09,1035.49,1000.0
2018-04-26 11:58:00,1035.554,1035.68,1035.554,1035.68,500.0
2018-04-26 11:59:00,1035.212,1035.2587,1034.85,1034.85,450.0
2018-04-26 12:00:00,1034.85,1035.81,1034.85,1035.65,2016.0
2018-04-26 12:01:00,1036.09,1036.5,1035.99,1036.17,900.0
2018-04-26 12:02:00,1035.95,1036.19,1035.87,1036.1171,706.0
2018-04-26 12:03:00,1036.62,1036.95,1036.62,1036.72,1000.0
2018-04-26 12:04:00,1036.64,1036.93,1036.42,1036.85,400.0
2018-04-26 12:05:00,1036.86,1036.93,1036.56,1036.93,1310.0
2018-04-26 12:06:00,1037.5,1037.7,1037.19,1037.6,798.0
2018-04-26 12:07:00,1037.75,1038.34,1037.75,1038.25,2096.0
2018-04-26 12:08:00,1038.16,1038.2575,1037.57,1038.25,700.0
2018-04-26 12:09:00,1038.025,1038.5,1038.025,1038.5,520.0
2018-04-26 12:10:00,1038.5,1039.31,1038.5,1039.31,2007.0
2018-04-26 12:11:00,1039.06,1039.4,1038.64,1039.4,1889.0
2018-04-26 12:12:00,1039.5,1039.71,1038.89,1038.89,1812.0
2018-04-26 12:13:00,1038.61,1038.72,1038.45,1038.71,800.0
2018-04-26 12:14:00,1039.3062,1039.6497,1039.3062,1039.3192,2143.0
2018-04-26 12:15:00,1039.02,1039.02,1039.02,1039.02,200.0
2018-04-26 12:16:00,1038.95,1038.96,1038.95,1038.96,200.0
2018-04-26 12:17:00,1038.49,1038.49,1037.11,1037.11,1501.0
2018-04-26 12:18:00,1037.4,1038.56,1037.4,1038.56,1300.0
2018-04-26 12:19:00,1038.96,1038.96,1038.39,1038.84,1228.0
2018-04-26 12:20:00,1038.67,1039.3,1038.67,1038.79,900.0
2018-04-26 12:21:00,1038.91,1039.34,1038.91,1039.0703,400.0
2018-04-26 12:22:00,1039.312,1039.63,1039.215,1039.22,1250.0
2018-04-26 12:23:00,1039.65,1040.08,1039.65,1039.898,5432.0
2018-04-26 12:24:00,1040.03,1040.1272,1040.0,1040.11,4253.0
2018-04-26 12:25:00,1040.34,1040.62,1040.17,1040.5,1022.0
2018-04-26 12:26:00,1040.53,1041.12,1040.34,1041.01,4500.0
2018-04-26 12:27:00,1040.97,1040.97,1040.47,1040.47,622.0
2018-04-26 12:28:00,1040.76,1041.0,1040.76,1040.915,600.0
2018-04-26 12:29:00,1040.26,1040.62,1039.3784,1039.3784,1100.0
2018-04-26 12:30:00,1039.955,1040.52,1039.88,1040.0,1500.0
2018-04-26 12:31:00,1040.25,1040.39,1039.97,1040.27,500.0
2018-04-26 12:32:00,1040.0,1040.18,1039.78,1039.95,3100.0
2018-04-26 12:33:00,1039.97,1040.21,1039.81,1040.0,3100.0
2018-04-26 12:34:00,1040.185,1040.5,1040.185,1040.5,920.0
2018-04-26 12:35:00,1040.15,1040.41,1039.51,1039.99,5065.0
2018-04-26 12:36:00,1039.832,1040.45,1039.76,1040.45,2334.0
2018-04-26 12:37:00,1040.03,1040.32,1039.6204,1039.89,2835.0
2018-04-26 12:38:00,1039.87,1040.37,1039.83,1040.37,2314.0
2018-04-26 12:39:00,1040.2,1041.0,1039.855,1041.0,4592.0
2018-04-26 12:40:00,1040.445,1040.67,1040.445,1040.67,400.0
2018-04-26 12:41:00,1040.465,1040.91,1040.28,1040.91,2300.0
2018-04-26 12:42:00,1040.65,1041.36,1040.65,1041.2,1900.0
2018-04-26 12:43:00,1041.105,1041.27,1040.99,1040.99,793.0
2018-04-26 12:44:00,1040.42,1040.83,1039.67,1039.67,924.0
2018-04-26 12:45:00,1039.9,1040.82,1039.9,1040.74,1400.0
2018-04-26 12:46:00,1040.74,1040.74,1039.98,1039.98,6000.0
2018-04-26 12:47:00,1040.02,1040.56,1040.02,1040.205,600.0
2018-04-26 12:48:00,1040.07,1040.07,1038.7346,1039.09,3550.0
2018-04-26 12:49:00,1038.89,1039.42,1038.71,1039.42,3189.0
2018-04-26 12:50:00,1039.34,1039.52,1039.34,1039.52,600.0
2018-04-26 12:51:00,1039.13,1039.19,1038.78,1038.99,2290.0
2018-04-26 12:52:00,1038.7018,1039.1286,1038.633,1039.1286,3666.0
2018-04-26 12:53:00,1039.27,1039.27,1038.2529,1039.14,1196.0
2018-04-26 12:54:00,1038.6005,1038.91,1038.6005,1038.84,722.0
2018-04-26 12:55:00,1038.61,1039.13,1038.61,1039.13,572.0
2018-04-26 12:56:00,1038.92,1039.7,1038.92,1039.7,2299.0
2018-04-26 12:57:00,1039.15,1039.3248,1039.135,1039.3248,800.0
2018-04-26 12:58:00,1039.429,1039.66,1039.429,1039.455,429.0
2018-04-26 12:59:00,1039.37,1039.59,1038.865,1038.865,300.0
2018-04-26 13:00:00,1039.18,1039.51,1039.07,1039.09,1441.0
2018-04-26 13:01:00,1039.24,1039.67,1039.16,1039.67,916.0
2018-04-26 13:02:00,1039.6875,1039.6875,1039.6875,1039.6875,105.0
2018-04-26 13:03:00,1039.97,1040.17,1039.92,1040.17,1264.0
2018-04-26 13:04:00,1040.25,1040.54,1040.06,1040.54,1900.0
2018-04-26 13:05:00,1040.23,1040.58,1040.23,1040.58,400.0
2018-04-26 13:06:00,1040.575,1041.06,1040.45,1040.66,1790.0
2018-04-26 13:07:00,1040.72,1041.0,1040.72,1041.0,700.0
2018-04-26 13:08:00,1040.55,1041.1737,1040.55,1041.1737,300.0
2018-04-26 13:09:00,1040.98,1040.98,1040.98,1040.98,100.0
2018-04-26 13:10:00,1041.21,1041.45,1040.89,1041.09,800.0
2018-04-26 13:11:00,1041.24,1041.55,1041.12,1041.55,300.0
2018-04-26 13:12:00,1041.7,1042.0,1041.62,1041.99,1100.0
2018-04-26 13:13:00,1041.5209,1042.74,1041.5209,1042.74,1460.0
2018-04-26 13:14:00,1042.7675,1043.0,1042.39,1042.5453,1618.0
2018-04-26 13:15:00,1042.69,1042.7465,1042.5543,1042.5543,360.0
2018-04-26 13:16:00,1042.31,1042.38,1042.0838,1042.38,796.0
2018-04-26 13:17:00,1042.41,1042.41,1042.41,1042.41,200.0
2018-04-26 13:18:00,1042.41,1042.42,1042.06,1042.06,600.0
2018-04-26 13:19:00,1041.8446,1041.8446,1041.8446,1041.8446,100.0
2018-04-26 13:20:00,1042.0,1042.0,1042.0,1042.0,200.0
2018-04-26 13:21:00,1042.45,1042.45,1042.45,1042.45,100.0
