date,1. open,2. high,3. low,4. close,5. volume
2018-04-26 11:43:00,174.62,174.6904,174.41,174.5466,85767.0
2018-04-26 11:44:00,174.51,174.52,174.2711,174.44,91928.0
2018-04-26 11:45:00,174.47,174.67,174.41,174.53,102707.0
2018-04-26 11:46:00,174.52,174.525,174.34,174.37,119548.0
2018-04-26 11:47:00,174.37,174.5528,174.32,174.5,157094.0
2018-04-26 11:48:00,174.47,174.53,174.29,174.37,71973.0
2018-04-26 11:49:00,174.3325,174.49,174.31,174.31,58412.0
2018-04-26 11:50:00,174.31,174.3152,174.1,174.14,91513.0
2018-04-26 11:51:00,174.14,174.26,173.95,174.14,98687.0
2018-04-26 11:52:00,174.161,174.33,174.15,174.19,49473.0
2018-04-26 11:53:00,174.17,174.17,174.02,174.02,59619.0
2018-04-26 11:54:00,174.02,174.19,173.99,174.15,57882.0
2018-04-26 11:55:00,174.1292,174.18,174.07,174.1685,47144.0
2018-04-26 11:56:00,174.17,174.21,174.01,174.06,93503.0
2018-04-26 11:57:00,174.075,174.15,173.98,174.1245,67134.0
2018-04-26 11:58:00,174.125,174.14,173.85,174.0193,73467.0
2018-04-26 11:59:00,174.01,174.07,173.69,173.81,87266.0
2018-04-26 12:00:00,173.82,174.08,173.78,174.03,79764.0
2018-04-26 12:01:00,174.06,174.11,174.0,174.04,42908.0
2018-04-26 12:02:00,174.02,174.38,173.95,174.36,94578.0
2018-04-26 12:03:00,174.39,174.49,174.34,174.46,58311.0
2018-04-26 12:04:00,174.46,174.5,174.31,174.43,41243.0
2018-04-26 12:05:00,174.445,174.445,173.95,174.11,71756.0
2018-04-26 12:06:00,174.125,174.18,173.98,174.09,34989.0
2018-04-26 12:07:00,174.09,174.24,174.07,174.18,36373.0
2018-04-26 12:08:00,174.174,174.32,173.99,174.2932,47191.0
2018-04-26 12:09:00,174.31,174.37,174.2,174.3492,52629.0
2018-04-26 12:10:00,174.3461,174.5,174.26,174.445,56709.0
2018-04-26 12:11:00,174.42,174.4399,174.31,174.4086,49644.0
2018-04-26 12:12:00,174.39,174.43,174.16,174.2072,49742.0
2018-04-26 12:13:00,174.2,174.3,174.09,174.3,23885.0
2018-04-26 12:14:00,174.3,174.65,174.28,174.5301,101997.0
2018-04-26 12:15:00,174.5491,174.5804,174.35,174.43,43238.0
2018-04-26 12:16:00,174.4464,174.47,174.32,174.32,44314.0
2018-04-26 12:17:00,174.33,174.4,174.27,174.2775,58816.0
2018-04-26 12:18:00,174.2895,174.73,174.271,174.6673,129108.0
2018-04-26 12:19:00,174.6657,174.69,174.39,174.55,114739.0
2018-04-26 12:20:00,174.5248,174.8,174.49,174.75,169532.0
2018-04-26 12:21:00,174.73,174.75,174.62,174.7,87242.0
2018-04-26 12:22:00,174.72,174.9,174.68,174.8,137651.0
2018-04-26 12:23:00,174.8,174.8352,174.72,174.77,73653.0
2018-04-26 12:24:00,174.759,174.85,174.71,174.78,88141.0
2018-04-26 12:25:00,174.76,174.85,174.75,174.83,83319.0
2018-04-26 12:26:00,174.83,174.85,174.77,174.8,60611.0
2018-04-26 12:27:00,174.81,174.87,174.74,174.85,90543.0
2018-04-26 12:28:00,174.87,174.95,174.49,174.49,213415.0
2018-04-26 12:29:00,174.52,174.6,174.46,174.55,76677.0
2018-04-26 12:30:00,174.555,174.68,174.51,174.66,45564.0
2018-04-26 12:31:00,174.68,174.68,174.55,174.59,39394.0
2018-04-26 12:32:00,174.58,174.66,174.49,174.64,77989.0
2018-04-26 12:33:00,174.63,174.79,174.63,174.73,97116.0
2018-04-26 12:34:00,174.725,174.95,174.72,174.94,130313.0
2018-04-26 12:35:00,174.9101,175.0,174.91,174.99,278790.0
2018-04-26 12:36:00,174.97,175.0,174.87,174.99,200616.0
2018-04-26 12:37:00,175.0,175.09,174.66,174.8,626331.0
2018-04-26 12:38:00,174.78,174.87,174.71,174.7236,71043.0
2018-04-26 12:39:00,174.7425,174.94,174.66,174.94,72331.0
2018-04-26 12:40:00,174.9201,174.96,174.84,174.92,51787.0
2018-04-26 12:41:00,174.94,175.18,174.9,175.15,155106.0
2018-04-26 12:42:00,175.15,175.33,175.08,175.315,258815.0
2018-04-26 12:43:00,175.33,175.37,175.1326,175.24,102406.0
2018-04-26 12:44:00,175.255,175.32,174.95,174.95,99687.0
2018-04-26 12:45:00,174.96,175.08,174.955,175.04,63512.0
2018-04-26 12:46:00,175.04,175.06,174.86,174.99,68989.0
2018-04-26 12:47:00,174.99,175.08,174.96,174.989,43082.0
2018-04-26 12:48:00,174.98,175.01,174.38,174.4702,217142.0
2018-04-26 12:49:00,174.48,174.8,174.47,174.8,119569.0
2018-04-26 12:50:00,174.7852,174.84,174.6934,174.75,58101.0
2018-04-26 12:51:00,174.7445,174.83,174.464,174.464,76947.0
2018-04-26 12:52:00,174.47,174.66,174.47,174.6485,93501.0
2018-04-26 12:53:00,174.64,174.739,174.57,174.68,71207.0
2018-04-26 12:54:00,174.69,174.87,174.68,174.83,47463.0
2018-04-26 12:55:00,174.83,174.94,174.78,174.8445,67361.0
2018-04-26 12:56:00,174.85,174.98,174.79,174.87,59097.0
2018-04-26 12:57:00,174.86,174.94,174.77,174.9299,41586.0
2018-04-26 12:58:00,174.93,175.07,174.91,175.07,100467.0
2018-04-26 12:59:00,175.04,175.07,174.91,174.95,71016.0
2018-04-26 13:00:00,174.9677,175.02,174.91,174.93,47332.0
2018-04-26 13:01:00,174.94,175.09,174.94,175.0417,104703.0
2018-04-26 13:02:00,175.0448,175.13,174.97,175.05,88639.0
2018-04-26 13:03:00,175.06,175.22,175.04,175.18,73719.0
2018-04-26 13:04:00,175.183,175.2498,175.09,175.1933,66507.0
2018-04-26 13:05:00,175.19,175.25,175.14,175.22,31157.0
2018-04-26 13:06:00,175.2025,175.35,175.1,175.35,105827.0
2018-04-26 13:07:00,175.3301,175.35,175.19,175.23,118586.0
2018-04-26 13:08:00,175.22,175.24,175.11,175.15,40737.0
2018-04-26 13:09:00,175.2752,175.4,175.25,175.3599,79122.0
2018-04-26 13:10:00,175.36,175.49,175.34,175.4662,78253.0
2018-04-26 13:11:00,175.47,175.5,175.38,175.485,60032.0
2018-04-26 13:12:00,175.4965,175.5,175.42,175.4689,82819.0
2018-04-26 13:13:00,175.47,175.48,175.3108,175.44,46635.0
2018-04-26 13:14:00,175.46,175.47,175.3,175.32,76389.0
2018-04-26 13:15:00,175.321,175.46,175.27,175.415,43776.0
2018-04-26 13:16:00,175.4182,175.4892,175.39,175.446,22265.0
2018-04-26 13:17:00,175.4549,175.6,175.4396,175.58,66812.0
2018-04-26 13:18:00,175.57,175.72,175.55,175.7095,137260.0
2018-04-26 13:19:00,175.72,175.732,175.61,175.66,70883.0
2018-04-26 13:20:00,175.6608,175.8,175.66,175.8,94660.0
2018-04-26 13:21:00,175.8,175.85,175.6617,175.71,82134.0
2018-04-26 13:22:00,175.7,175.79,175.56,175.58,61623.0
